Date,Open,High,Low,Close,Adj Close,Volume,New Price
19/4/2021,4.11,4.11,4.02,4.06,3.241059,7800,0
20/4/2021,4.06,4.06,4.06,4.06,3.241059,0,0
21/4/2021,4.06,4.06,4.06,4.06,3.241059,0,0
22/4/2021,4.06,4.06,4.06,4.06,3.241059,0,0
23/4/2021,4.06,4.06,4.06,4.06,3.241059,0,0
26/4/2021,4.14,4.14,3.78,4,3.193161,32900,0
27/4/2021,4,4,4,4,3.193161,0,1
28/4/2021,4.19,4.19,4.19,4.19,3.344836,500,0
29/4/2021,4.19,4.19,4.19,4.19,3.344836,0,0
30/4/2021,4.19,4.19,4.19,4.19,3.344836,0,0
3/5/2021,4.19,4.19,4.19,4.19,3.344836,0,0
4/5/2021,4.19,4.19,4.19,4.19,3.344836,0,0
5/5/2021,3.8,3.8,3.8,3.8,3.033503,200,1
6/5/2021,3.99,3.99,3.99,3.99,3.185179,300,0
7/5/2021,4.2,4.2,3.5,3.68,2.937708,900,0
10/5/2021,3.68,3.68,3.68,3.68,2.937708,0,1
11/5/2021,3.93,3.93,3.93,3.93,3.137281,300,0
12/5/2021,3.8,3.8,3.8,3.8,3.033503,2000,1
13/5/2021,3.5,4.3,3.5,4.3,3.432649,6400,0
14/5/2021,3.98,3.98,3.98,3.98,3.177196,400,1
17/5/2021,4.13,4.13,4.11,4.11,3.280974,1500,0
18/5/2021,4.11,4.11,4.11,4.11,3.280974,0,0
19/5/2021,4.11,4.11,4.11,4.11,3.280974,0,0
20/5/2021,4.11,4.11,4.11,4.11,3.280974,0,0
21/5/2021,4.11,4.11,4.11,4.11,3.280974,200,0
24/5/2021,4.11,4.11,4.11,4.11,3.280974,0,0
25/5/2021,4.08,4.08,4.08,4.08,3.257024,300,0
26/5/2021,4.08,4.08,4.08,4.08,3.257024,100,1
27/5/2021,4.23,4.23,4.03,4.03,3.371644,600,1
28/5/2021,4.28,4.29,4.28,4.29,3.589169,200,0
1/6/2021,3.35,3.35,3.35,3.35,2.802731,200,0
2/6/2021,3.35,3.35,3.35,3.35,2.802731,0,1
3/6/2021,3.6,3.6,3.6,3.6,3.01189,400,0
